category,broad_category
agriculture.kr,Other_products_kr
alcohol.kr,Food_kr
appliances.kr,Other_products_kr
aviation.kr,Aviation_LDT_kr
bar.kr,Food_kr
beauty.kr,Other_services_kr
books.kr,Other_products_kr
bus.kr,Car_Public_kr
car_maint.kr,Car_Public_kr
car_rent.kr,Car_Public_kr
cash.kr,Other_misc_kr
charity.kr,charity.kr
clothing.kr,Other_products_kr
culture.kr,Other_services_kr
district_heating.kr,Housing_kr
electricity.kr,Housing_kr
electronics.kr,Other_products_kr
escooter.kr,Car_Public_kr
exclude.kr,exclude.kr
ferry.kr,Vacation_LDT_kr
financial_service.kr,Other_services_kr
food_other.kr,Food_kr
fuel.kr,Car_Public_kr
furniture.kr,Other_products_kr
gas.kr,Housing_kr
glasses_lenses.kr,Other_products_kr
groceries.kr,Food_kr
health.kr,Other_services_kr
health_care.kr,Other_services_kr
health_other.kr,Other_services_kr
home_garden_other.kr,Other_products_kr
housing_other.kr,Housing_kr
income_benefits.kr,Income_other
income_financial.kr,Income_financial
income_other.kr,Income_other
income_pensions.kr,Income_salary_pension
income_refund.kr,Income_other
income_salary.kr,Income_salary_pension
insurance.kr,Other_services_kr
internet_tele.kr,Other_services_kr
jewelry.kr,Other_products_kr
leisure_other.kr,Other_services_kr
liquid_fuels.kr,Housing_kr
other_other.kr,Other_misc_kr
outlay.kr,Other_misc_kr
pets.kr,Other_products_kr
pharmacy.kr,Other_products_kr
public_trans.kr,Car_Public_kr
rent.kr,Housing_kr
repair_build.kr,Housing_kr
repair_home.kr,Housing_kr
repair_rent.kr,Other_services_kr
restaurant.kr,Food_kr
savings.kr,savings.kr
services.kr,Other_services_kr
shopping_other.kr,Other_products_kr
snacks.kr,Food_kr
solid_fuels.kr,Housing_kr
sport_equip.kr,Other_products_kr
sports.kr,Other_services_kr
taxi.kr,Car_Public_kr
tobacco.kr,Food_kr
toys.kr,Other_products_kr
train_bus.kr,Vacation_LDT_kr
transaction.kr,Other_misc_kr
transfer_to_creditcard.kr,Other_misc_kr
transport_other.kr,Car_Public_kr
travel.kr,Vacation_LDT_kr
uncategorized.kr,Other_misc_kr
utilities_heating_other.kr,Housing_kr
vehicles.kr,Car_Public_kr
