category,broad_category
agriculture.co2e,Other_products_co2e
alcohol.co2e,Food_co2e
appliances.co2e,Other_products_co2e
aviation.co2e,Aviation_LDT_co2e
bar.co2e,Food_co2e
beauty.co2e,Other_services_co2e
books.co2e,Other_products_co2e
bus.co2e,Car_Public_co2e
car_maint.co2e,Car_Public_co2e
car_rent.co2e,Car_Public_co2e
cash.co2e,Other_misc_co2e
charity.co2e,charity.co2e
clothing.co2e,Other_products_co2e
culture.co2e,Other_services_co2e
district_heating.co2e,Housing_co2e
electricity.co2e,Housing_co2e
electronics.co2e,Other_products_co2e
escooter.co2e,Car_Public_co2e
exclude.co2e,exclude.co2e
ferry.co2e,Vacation_LDT_co2e
financial_service.co2e,Other_services_co2e
food_other.co2e,Food_co2e
fuel.co2e,Car_Public_co2e
furniture.co2e,Other_products_co2e
gas.co2e,Housing_co2e
glasses_lenses.co2e,Other_products_co2e
groceries.co2e,Food_co2e
health.co2e,Other_services_co2e
health_care.co2e,Other_services_co2e
health_other.co2e,Other_services_co2e
home_garden_other.co2e,Other_products_co2e
housing_other.co2e,Housing_co2e
income_benefits.co2e,Income_other
income_financial.co2e,Income_financial
income_other.co2e,Income_other
income_pensions.co2e,Income_salary_pension
income_refund.co2e,Income_other
income_salary.co2e,Income_salary_pension
insurance.co2e,Other_services_co2e
internet_tele.co2e,Other_services_co2e
jewelry.co2e,Other_products_co2e
leisure_other.co2e,Other_services_co2e
liquid_fuels.co2e,Housing_co2e
other_other.co2e,Other_misc_co2e
outlay.co2e,Other_misc_co2e
pets.co2e,Other_products_co2e
pharmacy.co2e,Other_products_co2e
public_trans.co2e,Car_Public_co2e
rent.co2e,Housing_co2e
repair_build.co2e,Housing_co2e
repair_home.co2e,Housing_co2e
repair_rent.co2e,Other_services_co2e
restaurant.co2e,Food_co2e
savings.co2e,savings.co2e
services.co2e,Other_services_co2e
shopping_other.co2e,Other_products_co2e
snacks.co2e,Food_co2e
solid_fuels.co2e,Housing_co2e
sport_equip.co2e,Other_products_co2e
sports.co2e,Other_services_co2e
taxi.co2e,Car_Public_co2e
tobacco.co2e,Food_co2e
toys.co2e,Other_products_co2e
train_bus.co2e,Vacation_LDT_co2e
transaction.co2e,Other_misc_co2e
transfer_to_creditcard.co2e,Other_misc_co2e
transport_other.co2e,Car_Public_co2e
travel.co2e,Vacation_LDT_co2e
uncategorized.co2e,Other_misc_co2e
utilities_heating_other.co2e,Housing_co2e
vehicles.co2e,Car_Public_co2e
