lifestyle_variable;broad_category;category;label;broad_label
no_flying;Aviation_LDT_co2e;aviation.co2e;Aviation;Aviation
no_flying;Aviation_LDT_kr;aviation.kr;Aviation;Aviation
no_car;Car_Public_co2e;bus.co2e;Bus;Car
no_car;Car_Public_co2e;car_maint.co2e;Car Maint;Car
no_car;Car_Public_co2e;car_rent.co2e;Car Rent;Car
no_car;Car_Public_co2e;escooter.co2e;Escooter;Car
no_car;Car_Public_co2e;fuel.co2e;Fuel;Car
no_car;Car_Public_co2e;public_trans.co2e;Public Trans;Car
no_car;Car_Public_co2e;taxi.co2e;Taxi;Car
no_car;Car_Public_co2e;transport_other.co2e;Transport Other;Car
no_car;Car_Public_co2e;vehicles.co2e;Vehicles;Car
no_car;Car_Public_kr;bus.kr;Bus;Car
no_car;Car_Public_kr;car_maint.kr;Car Maint;Car
no_car;Car_Public_kr;car_rent.kr;Car Rent;Car
no_car;Car_Public_kr;escooter.kr;Escooter;Car
no_car;Car_Public_kr;fuel.kr;Fuel;Car
no_car;Car_Public_kr;public_trans.kr;Public Trans;Car
no_car;Car_Public_kr;taxi.kr;Taxi;Car
no_car;Car_Public_kr;transport_other.kr;Transport Other;Car
no_car;Car_Public_kr;vehicles.kr;Vehicles;Car
NA;charity.co2e;charity.co2e;Charity;Charity
NA;charity.kr;charity.kr;Charity;Charity
NA;exclude.co2e;exclude.co2e;Exclude;Excluded
NA;exclude.kr;exclude.kr;Exclude;Excluded
no_meat;Food_co2e;alcohol.co2e;Alcohol;Food
no_meat;Food_co2e;bar.co2e;Bar;Food
no_meat;Food_co2e;food_other.co2e;Food Other;Food
no_meat;Food_co2e;groceries.co2e;Groceries;Food
no_meat;Food_co2e;restaurant.co2e;Restaurant;Food
no_meat;Food_co2e;snacks.co2e;Snacks;Food
no_meat;Food_co2e;tobacco.co2e;Tobacco;Food
no_meat;Food_kr;alcohol.kr;Alcohol;Food
no_meat;Food_kr;bar.kr;Bar;Food
no_meat;Food_kr;food_other.kr;Food Other;Food
no_meat;Food_kr;groceries.kr;Groceries;Food
no_meat;Food_kr;restaurant.kr;Restaurant;Food
no_meat;Food_kr;snacks.kr;Snacks;Food
no_meat;Food_kr;tobacco.kr;Tobacco;Food
NA;Housing_co2e;district_heating.co2e;District Heating;Housing
