"nr","deso","area","pop","density"
"1","0114A0010",42.56,898,21.0996240601504
"2","0114C1010",0.56,1565,2794.64285714286
"3","0114C1020",1.08,1610,1490.74074074074
"4","0114C1030",0.84,2294,2730.95238095238
"5","0114C1040",3.8,2364,622.105263157895
"6","0114C1050",2.57,2061,801.945525291829
"7","0114C1060",1.57,3286,2092.99363057325
"8","0114C1070",1.04,1656,1592.30769230769
"9","0114C1080",0.48,2548,5308.33333333333
"10","0114C1090",0.46,3263,7093.47826086957
"11","0114C1100",1.27,1832,1442.51968503937
"12","0114C1110",1.4,2257,1612.14285714286
"13","0114C1120",0.46,2491,5415.21739130435
"14","0114C1130",0.54,2031,3761.11111111111
"15","0114C1140",5.58,3280,587.813620071685
"16","0114C1150",0.33,2789,8451.51515151515
"17","0114C1160",0.68,1922,2826.47058823529
"18","0114C1170",0.76,1685,2217.10526315789
"19","0114C1180",1.53,1087,710.457516339869
"20","0114C1190",0.48,1965,4093.75
"21","0114C1200",0.3,2838,9460
"22","0114C1210",0.64,2591,4048.4375
"23","0114C1220",6,1797,299.5
"24","0115A0010",91,2215,24.3406593406593
"25","0115A0020",84.77,1225,14.4508670520231
"26","0115A0030",82.93,1282,15.45882069215
"27","0115A0040",56.94,1476,25.9220231822972
"28","0115B2010",6.41,1418,221.216848673947
"29","0115B3010",6.5,1156,177.846153846154
"30","0115C1010",1.06,2618,2469.81132075472
"31","0115C1020",2.85,2351,824.912280701754
"32","0115C1030",0.38,1298,3415.78947368421
"33","0115C1040",1.27,2141,1685.82677165354
"34","0115C1050",5.83,2704,463.807890222985
"35","0115C1060",0.77,2289,2972.72727272727
"36","0115C1070",0.65,2403,3696.92307692308
"37","0115C1080",1.94,1426,735.051546391753
"38","0115C1090",0.3,1344,4480
"39","0115C1100",5.04,2582,512.301587301587
"40","0115C1110",1.15,1996,1735.65217391304
"41","0115C1120",2.75,1853,673.818181818182
"42","0115C1130",5.26,1299,246.958174904943
"43","0117A0010",33.6,707,21.0416666666667
"44","0117A0020",100.45,2137,21.2742658038825
"45","0117A0030",108.42,2422,22.3390518354547
"46","0117C1010",5.01,1685,336.327345309381
"47","0117C1020",3.82,1679,439.528795811518
"48","0117C1030",5.2,2645,508.653846153846
"49","0117C1040",1.63,2639,1619.01840490798
"50","0117C1050",12.14,2735,225.288303130148
"51","0117C1060",1,2698,2698
"52","0117C1070",1.27,2344,1845.66929133858
"53","0117C1080",11.38,3119,274.077328646749
"54","0117C1090",1.62,2545,1570.98765432099
"55","0117C1100",0.68,2775,4080.88235294118
"56","0117C1110",0.19,2573,13542.1052631579
"57","0117C1120",0.91,1768,1942.85714285714
"58","0117C1130",0.52,2105,4048.07692307692
"59","0117C1140",0.48,2335,4864.58333333333
"60","0117C1150",0.6,833,1388.33333333333
"61","0117C1160",6.45,2203,341.550387596899
"62","0117C1170",1.26,1943,1542.06349206349
"63","0117C1180",4.96,1432,288.709677419355
"64","0117C1190",2.84,1740,612.676056338028
"65","0117C1200",7.91,2220,280.657395701644
"66","0120A0010",247.36,2186,8.83732212160414
"67","0120C1010",20.65,1873,90.7021791767555
"68","0120C1020",22.08,1670,75.6340579710145
"69","0120C1030",6.71,1857,276.751117734724
"70","0120C1040",16.4,2411,147.012195121951
"71","0120C1050",9.41,1684,178.958554729012
"72","0120C1060",23.55,2561,108.747346072187
"73","0120C1070",3.95,812,205.569620253165
"74","0120C1080",2.14,1784,833.644859813084
"75","0120C1090",1.53,2007,1311.76470588235
"76","0120C1100",4.27,2950,690.866510538642
"77","0120C1110",3.84,3398,884.895833333333
"78","0120C1120",1.56,1947,1248.07692307692
"79","0120C1130",3.27,1851,566.05504587156
"80","0120C1140",1.25,2511,2008.8
"81","0120C1150",16.48,1551,94.1140776699029
"82","0120C1160",1.34,1693,1263.4328358209
"83","0120C1170",1.86,1513,813.440860215054
"84","0120C1180",1.4,1909,1363.57142857143
"85","0120C1190",2.5,2108,843.2
"86","0120C1200",9.1,1541,169.340659340659
"87","0120C1210",25.09,2013,80.2311677959346
"88","0120C1220",9.58,1349,140.814196242171
"89","0120C1230",8.66,1458,168.360277136259
"90","0123C1010",0.67,2361,3523.88059701493
"91","0123C1020",0.64,1936,3025
"92","0123C1030",0.88,1766,2006.81818181818
"93","0123C1040",1.24,1650,1330.64516129032
"94","0123C1050",1.07,2144,2003.73831775701
"95","0123C1060",0.95,2217,2333.68421052632
